step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy
1,1.6574492454528809,0.6976743936538696,1.7110410065486514,0.3275862068965517
2,2.2305526733398438,0.6875,-1,-1
3,1.820569634437561,0.7037037014961243,-1,-1
4,2.0830576419830322,0.7142857313156128,-1,-1
5,2.538864850997925,0.6279069781303406,2.014663968767439,0.46938775510204084
6,1.6592072248458862,0.7446808218955994,-1,-1
7,2.331026792526245,0.6097561120986938,-1,-1
8,1.375169277191162,0.7333333492279053,-1,-1
9,2.442624092102051,0.6666666865348816,2.1513620376586915,0.3
10,1.735884189605713,0.6530612111091614,-1,-1
11,1.4953676462173462,0.7678571343421936,-1,-1
12,1.4645867347717285,0.692307710647583,-1,-1
13,2.136293649673462,0.5384615659713745,1.4884335959135597,0.5074626865671642
14,1.2992035150527954,0.75,-1,-1
15,1.3821521997451782,0.6545454263687134,-1,-1
16,1.0414514541625977,0.7962962985038757,-1,-1
17,1.0201257467269897,0.7213114500045776,1.3786158143428333,0.3508771929824561
18,1.086328148841858,0.7674418687820435,-1,-1
19,1.2095893621444702,0.6829268336296082,-1,-1
20,0.8846501111984253,0.8367347121238708,-1,-1
21,1.0199687480926514,0.7142857313156128,1.4686726766919334,0.4444444444444444
22,0.8655236959457397,0.7727272510528564,-1,-1
23,0.9230802655220032,0.7647058963775635,-1,-1
24,0.6630023717880249,0.7799999713897705,-1,-1
25,1.1529563665390015,0.7441860437393188,0.7513144199664776,0.5769230769230769
26,0.6996943354606628,0.800000011920929,-1,-1
27,0.9563509225845337,0.7818182110786438,-1,-1
28,0.6419937014579773,0.8571428656578064,-1,-1
29,0.6080456376075745,0.8245614171028137,0.7129686604375425,0.5869565217391305
30,0.5298151969909668,0.8194444179534912,-1,-1
31,0.5960404276847839,0.7894737124443054,-1,-1
32,0.7417067885398865,0.7954545617103577,-1,-1
33,0.7845230102539062,0.7777777910232544,0.7609981668406519,0.5517241379310345
34,0.6919209957122803,0.7659574747085571,-1,-1
35,0.7611362934112549,0.7701149582862854,-1,-1
36,0.5346823930740356,0.8600000143051147,-1,-1
37,0.6752094626426697,0.8115941882133484,0.7897750496864319,0.4375
38,0.5446189045906067,0.8085106611251831,-1,-1
39,1.030375361442566,0.7708333134651184,-1,-1
40,0.8214852213859558,0.746268630027771,-1,-1
